id,question,gold_answer,model_answer,semantic_similarity,bert_score,rouge_l_f1,eval_time_sec
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",DISTRIBUTOR AGREEMENT,,0.0,0.0,0.0,0.412506103515625
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_0,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Distributor,"The parties to this contract are the Company and the Distributor. The Company is the principal and the Distributor is the agent. The Distributor is not a partner, joint venturer, or any other form of legal association or arrangement. The Distributor is not liable for the acts or omissions of the Company.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the",0.3799833655357361,0.7159600853919983,0.04761904715419502,60.548912525177
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_1,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois L.L.C.,"The parties to this contract are the Company and the Distributor. The Company is the principal and the Distributor is the agent. The Distributor is not a partner, joint venturer, or any other form of legal association or arrangement. The Distributor is not liable for the acts or omissions of the Company.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the",0.03478837385773659,0.74647057056427,0.042553189262109666,60.47088861465454
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois LLC,"The parties to this contract are the Company and the Distributor. The Company is the principal and the Distributor is the agent. The Distributor is not a partner, joint venturer, or any other form of legal association or arrangement. The Distributor is not liable for the acts or omissions of the Company.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the",0.17848119139671326,0.714838445186615,0.043478258931947164,60.33021426200867
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_3,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Company,"The parties to this contract are the Company and the Distributor. The Company is the principal and the Distributor is the agent. The Distributor is not a partner, joint venturer, or any other form of legal association or arrangement. The Distributor is not liable for the acts or omissions of the Company.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the",0.28033655881881714,0.7286530137062073,0.04761904715419502,60.27095437049866
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Parties_4,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City Corp.,"The parties to this contract are the Company and the Distributor. The Company is the principal and the Distributor is the agent. The Distributor is not a partner, joint venturer, or any other form of legal association or arrangement. The Distributor is not liable for the acts or omissions of the Company.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the Distributor's products or services.

agreement, and the Company shall not be liable for any damages or losses arising from the use of the",0.13357877731323242,0.7445676922798157,0.0,60.3828489780426
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Agreement Date_0,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","7th day of September, 1999.",,0.0,0.0,0.0,0.14204096794128418
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date_0,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","Unless  earlier   terminated   otherwise  provided                   therein,  this  Agreement,  subject to the  commencement  date                   established  in Section 1.3,  shall be effective  immediately.",,0.0,0.0,0.0,0.13712549209594727
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Effective Date_1,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",,0.0,0.0,0.0,0.13319706916809082
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Expiration Date_0,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.","The contract's initial term expires on 12/31/2017.
Expiration Date:",0.49780210852622986,0.7196424007415771,0.16666666291666676,59.208592891693115
