Model,Question,Ground Truth,Predicted Answer,Confidence Score,Exact Match,Token F1 Score,Partial F1 Score,Semantic Similarity Score,Error Type
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",DISTRIBUTOR AGREEMENT,Electric                            City of  Illinois,0.037993140518665314,0,0.0,0.08108108108108109,0.0546821653842926,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Document Name"" that should be reviewed by a lawyer. Details: The name of the contract",DISTRIBUTOR AGREEMENT,"eighteen





",0.009389608167111874,0,0.0,0.12,0.15822643041610718,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Distributor,Illinois,0.004815909080207348,0,0.0,0.10909090909090909,0.28370481729507446,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Distributor,Company's manufacture or design of the Products,0.007302313577383757,0,0.0,0.11249999999999999,0.35833877325057983,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois L.L.C.,Illinois,0.004815909080207348,0,0.33333333333333337,0.5333333333333333,0.5684496164321899,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois L.L.C.,Company's manufacture or design of the Products,0.007302313577383757,0,0.16666666666666666,0.22142857142857142,0.12457391619682312,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois LLC,Illinois,0.004815909080207348,0,0.33333333333333337,0.5333333333333333,0.5355756878852844,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City of Illinois LLC,Company's manufacture or design of the Products,0.007302313577383757,0,0.16666666666666666,0.2304597701149425,0.23735865950584412,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Company,Illinois,0.004815909080207348,0,0.0,0.059999999999999984,0.23826423287391663,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Company,Company's manufacture or design of the Products,0.007302313577383757,0,0.0,0.3,0.5794383883476257,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City Corp.,Illinois,0.004815909080207348,0,0.0,0.08000000000000002,0.29242777824401855,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Parties"" that should be reviewed by a lawyer. Details: The two or more parties who signed the contract",Electric City Corp.,Company's manufacture or design of the Products,0.007302313577383757,0,0.0,0.1105263157894737,0.34086477756500244,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","7th day of September, 1999.",commencement  date                   established  in Section 1.3,0.01609024591743946,0,0.0,0.13043478260869565,0.3082682490348816,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Agreement Date"" that should be reviewed by a lawyer. Details: The date of the contract","7th day of September, 1999.","September, 1999",0.008184467442333698,0,0.28571428571428575,0.5,0.7869577407836914,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","Unless  earlier   terminated   otherwise  provided                   therein,  this  Agreement,  subject to the  commencement  date                   established  in Section 1.3,  shall be effective  immediately.",commencement  date                   established  in Section 1.3,0.02130349911749363,0,0.37037037037037035,0.5592592592592592,0.764868974685669,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","Unless  earlier   terminated   otherwise  provided                   therein,  this  Agreement,  subject to the  commencement  date                   established  in Section 1.3,  shall be effective  immediately.",confidential  information,0.008185666985809803,0,0.0,0.144,0.1302088052034378,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",commencement  date                   established  in Section 1.3,0.02130349911749363,0,0.05405405405405405,0.23002533783783782,0.3853844702243805,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Effective Date"" that should be reviewed by a lawyer. Details: The date when the contract is effective","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",confidential  information,0.008185666985809803,0,0.0,0.12272727272727271,0.10880884528160095,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",commencement  date                   established  in Section 1.3,0.2870852053165436,0,0.05405405405405405,0.23002533783783782,0.3853844702243805,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Expiration Date"" that should be reviewed by a lawyer. Details: On what date will the contract's initial term expire?","The term of this  Agreement  shall be ten (10)                            years (the ""Term"")  which shall  commence on the date                            upon which the Company  delivers to  Distributor  the                            last Sample, as defined  hereinafter.",months,0.0771636962890625,0,0.0,0.2,0.33901941776275635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.","If Distributor                            complies with all of the terms of this Agreement, the                            Agreement  shall be  renewable on an annual basis for                            one (1) year terms for up to  another  ten (10) years                            on the same terms and conditions as set forth herein.",five (5)  consecutive  bimonthly  periods,0.3115502595901489,0,0.0,0.1317073170731707,0.32967859506607056,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Renewal Term"" that should be reviewed by a lawyer. Details: What is the renewal term after the initial term expires? This includes automatic extensions and unilateral extensions with prior notice.","If Distributor                            complies with all of the terms of this Agreement, the                            Agreement  shall be  renewable on an annual basis for                            one (1) year terms for up to  another  ten (10) years                            on the same terms and conditions as set forth herein.","Page -8-

                 ",0.0017351608257740736,0,0.0,0.2111111111111111,0.05241529643535614,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",,five (5)  consecutive  bimonthly  periods,0.04882841557264328,0,0.0,0.0,0.030012015253305435,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Notice Period To Terminate Renewal"" that should be reviewed by a lawyer. Details: What is the notice period required to terminate renewal?",,"Page -5-

                 ",0.003122633555904031,0,0.0,0.0,0.3071363568305969,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?",This Agreement is to be construed according to the laws          of the State of Illinois.,Illinois,0.6580507159233093,0,0.0,0.3,0.4513692259788513,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Governing Law"" that should be reviewed by a lawyer. Details: Which state/country's law governs the interpretation of the contract?",This Agreement is to be construed according to the laws          of the State of Illinois.,State of Illinois,0.09921713173389435,0,0.2222222222222222,0.4555555555555555,0.6075503826141357,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",,there  terms for                            Illinois,0.0022791011724621058,0,0.0,0.0,0.15834756195545197,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Most Favored Nation"" that should be reviewed by a lawyer. Details: Is there a clause that if a third party gets better terms on the licensing or sale of technology/goods/services described in the contract, the buyer of such technology/goods/services under the contract shall be entitled to those better terms?",,months,0.02312120981514454,0,0.0,0.0,0.36453211307525635,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?",,covenants  and  agreements  between  the parties  with  respect to said          matter,0.0011316182790324092,0,0.0,0.0,0.09479858726263046,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Non-Compete"" that should be reviewed by a lawyer. Details: Is there a restriction on the ability of a party to compete with the counterparty or operate in a certain geography or business or technology sector?",,"
6.5",0.0019689472392201424,0,0.0,0.0,0.13831312954425812,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","The Company appoints the Distributor as an  exclusive  distributor  of Products in the Market,  subject to the terms and conditions of this Agreement.",Electric City Corp.                       Electric City of Illinois,0.011985180899500847,0,0.06666666666666667,0.15412935323383087,0.1444205343723297,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","The Company appoints the Distributor as an  exclusive  distributor  of Products in the Market,  subject to the terms and conditions of this Agreement.",  written,0.011089342646300793,0,0.0,0.13333333333333333,0.08060245960950851,Misclassification
Jasu/legalbert,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement.",Electric City Corp.                       Electric City of Illinois,0.011985180899500847,0,0.038461538461538464,0.2060275545350172,0.18765142560005188,Misclassification
deepset/roberta-squad2,"Highlight the parts (if any) of this contract related to ""Exclusivity"" that should be reviewed by a lawyer. Details: Is there an exclusive dealing  commitment with the counterparty? This includes a commitment to procure all “requirements” from one party of certain technology, goods, or services or a prohibition on licensing or selling technology, goods or services to third parties, or a prohibition on  collaborating or working with other parties), whether during the contract or  after the contract ends (or both).","Company  hereby   appoints                            Distributor as Company's exclusive distributor within                            the Market and grants to  Distributor  the  exclusive                            right  to sell and  distribute  Products  within  the                            Market,   and   Distributor   hereby   accepts   such                            appointment  and such grant,  in accordance  with the                            terms and conditions of this  Agreement.",  written,0.011089342646300793,0,0.0,0.2,0.1342141032218933,Misclassification
